a.d.	(缩)公元
linear	adj.线性的，线状的
linen	n.亚麻(织物)
liner	n.班轮，班机
linger	v.徘徊，逗留，拖延
linguist	n.语言学者
linguistics	n.语言学
lining	n.夹里，衬里
link	v.联系，连结  n.纽带
lion	n.狮子
lioness	n.母狮子
lip	n.嘴唇
lipstick	n.口红，唇膏
liquid	n.液体  adj.液体的
liquor	n.烈性酒
list	n.表，名单  v.列表
listen	v.听，听从
listener	n.听者
literacy	n.识字
literal	adj.字面的，不夸张的
literally	adv.简直，字面上
literary	adj.文学的
literate	n.有文化的
literature	n.文学，文献
litre	n.公升
litter	v.乱丢废物  n.废物
little	adj.小的，一点，少的
live	v.居住,生存  adj.活的
livelihood	n.生活
lively	adj.活跃的，热闹的
liver	n.肝
livestock	n.牲畜
living	adj.活着的  n.生计
living-room	n.客厅，起居室
load	n.负载，负担  v.装载
loaf	n.面包  v.游荡
loan	n.贷款  v.出借
lobby	n.前厅  v.游说
lobster	n.龙虾
local	adj.地方的，当地的
locality	n.地点，现场
locate	v.找出，确定地点
location	n.地点，位置
lock	v.锁上  n.锁，绺
lock-up	n.锁，固定资本
locomotive	n.火车头，机车
locust	n.蝗虫
lodge	v.寄宿
lodging	n.住处，住房
lofty	adj.崇高的，高耸的
log	n.原木，航海日志
logic	n.逻辑，论理学
logical	adj.逻辑的
loneliness	n.孤独，寂寞
lonely	adj.孤独的，寂寞的
lonesome	adj.寂寞的
long	adj.长的  adv.长久
longevity	n.长寿
longing	n.渴望，思慕
longitude	n.经度，经线
long-term	adj.长期的
look	v.看，看上去  n.外表
loom	v.隐隐出现  n.织布机
loop	n.环，回路  v.环绕
loose	adj.松的，自由自在的
loosen	v.解开，放松
lord	n.君主，贵族，上帝
lorry	n.卡车，载重汽车
lose	v.失去，丢失，输
loss	n.丧失，失利，损失
lost	adj.失去的
lot	n.许多，地  adv.相当
lottery	n.抽彩，抓阄，彩票
loud	adj.响亮的，大声的
loudness	n.响亮
loudspeaker	n.扬声器，扩音器
lounge	n.休息室
lovable	adj.可爱的
love	v.爱，喜欢  n.爱情
lovely	adj.好看的，可爱的
lover	n.爱人，情人，爱好者
low	adj.低的，低廉的
lower	v.降低，减弱
loyal	adj.忠诚的，忠贞的
loyalty	n.忠诚，忠贞
lubricate	v.润滑
lubrication	n.润滑
luck	n.运气，幸运
lucky	adj.幸运的
luggage	n.行李
lumber	n.木材，木料
luminous	adj.发光的，明晰的
lump	n.块，肿块
lumpsum	n.总数
lunar	adj.月亮的，阴历的
lunch	n.午饭，便餐
luncheon	n.午餐，午宴
lung	n.肺
luxurious	adj.豪华的，奢侈的
luxury	n.奢侈(品)
machine	n.机器
machinery	n.机械(总称)
mackintosh	n.雨衣
macroeconomics	n.宏观经济学
mad	adj.疯狂的，狂热的
madam	n.夫人，太太，女士
madman	nn.疯子
madness	n.疯狂，疯病
magazine	n.杂志，期刊
magic	n.魔法，魔术，魅力
magician	n.魔术师
magistrate	n.地方法官
magnet	n.磁性，磁铁
magnetic	adj.磁性的
magnetism	n.磁性，磁力，吸引力
magnificent	adj.壮丽的，宏伟的
magnify	v.放大，扩大
magnitude	n.宏大，重要(性)
maid	n.女仆，侍女
maiden	n.少女  adj.未婚的
mail	n.邮件  v.邮寄
mailbox	n.信箱
main	adj.主要的
mainland	n.大陆，本土
mainly	adv.主要地，大部分
mainstream	n.主流
maintain	v.维持，保养，坚持
maintenance	n.保养，维修
maize	n.玉米
majesty	n.陛下，雄伟，庄严
major	adj.主要的，多数的
majority	n.多数，过半数
make	v.做，制造  n.种类
maker	n.制造者，制造商
make-shift	adj.临时的n.权宜之计
make-up	n.气质，化妆品
malady	n.病
malaria	n.疟疾
malaise	n.马来西亚
malaysia	n.马来西亚
male	adj.男性的，雄的
malice	n.恶意，恶感
malicious	adj.恶意的
man	n.人，男人，人类
manage	v.管理，处理，设法
management	n.管理(人员)，经营
manager	n.经理
managerial	adj.管理的
manhood	n.男子气
manifest	v.表明  adj.明白的
manifestation	n.表明
manifesto	n.宣言
manipulate	v.操纵，操作，摆布
manipulation	n.操纵，操作
mankind	n.人类
manly	adj.大丈夫的
manner	n.方法，方式，礼貌
mansion	n.宅第，官邸，大厦
manual	adj.用手的  n.手册
manufacture	v.n.制造
manufactured	adj.制成的
manufacturer	n.制造商
manuscript	n.手稿，原稿
many	adj.许多的  n.许多
map	n.地图  v.筹划
maple	n.枫树
marble	n.大理石，弹子
march	n.三月
march	n.v.行进，行军
margin	n.余地，边缘
marginal	adj.边缘的，边际的
marine	adj.海的，海生的
mariner	n.海员，水手
mark	n.痕迹，符号，标记
marked	adj.有标记的，标明的
market	n.市场，销路
marketable	adj.有销路的
marketing	n.市场学，营销学
marketplace	n.市场，集市
marking	n.唛头，标记
marriage	n.婚姻，婚礼
married	adj.已婚的
marry	v.娶，嫁，为...主婚
mars	n.火星
marsh	n.沼泽
marshal	n.元帅
martyr	n.烈士，殉道者
marvel	n.奇迹  v.惊奇
marvellous	adj.奇异的，绝妙的
marxism	n.马克思主义
marxist	n.马克思主义者
masculine	adj.男性的，阳性的
mask	n.假面具  v.掩饰
mass	n.堆，大量，群众
massacre	n.v.屠杀，残杀
massage	n.按摩，推拿
massive	adj.粗大的，厚重的
mass media	n.传媒工具，新闻界
mast	n.桅杆
master	n.主人，大师，硕士
masterpiece	n.杰作
mat	n.垫子，席子
match	n.火柴，对手，比赛
mate	n.伙伴  v.配对
material	n.材料，资料，原料
materialism	n.唯物主义
materialize	v.使具体化，物质化
mathematical	adj.数学的
mathematics	n.数学
mathematician	n.数字家
maths	n.(缩)数学
matinee	n.日场演出
matter	n.事情，物资，毛病
mattress	n.床垫
mature	adj.成熟的，到期的
maturity	n.成熟，到期
maximize	v.增加到最大程度
maximum	n.最大量，极限
may	n.五月
may	v.可以，也许，祝愿
maybe	adv.或许，大概
mayor	n.市长
me	pron.我(宾格)
meadow	n.牧场，草地
meal	n.膳食，一顿饭
mean	v.打算，意指
meaning	n.意义，意图
means	n.手段，财力
meantime	adv.同时，在这期间
meanwhile	adv.n.在这期间
measure	n.尺寸，量具，措施
measurement	n.测量(结果)
meat	n.肉
mechanic	n.技工
mechanical	adj.机械的、机动的
mechanically	adv.机械地
mechanics	n.力学，机械学
mechanism	n.机制，机械装置
medal	n.奖章，勋章，纪念章
medical	adj.医学的，医务的
medicine	n.药，医学
medieval	adj.中世纪的
meditate	v.考虑，沉思
meditation	n.考虑，沉思冥想
mediterranean	n.地中海
medium	n.中间，媒介，中庸
meek	adj.温顺的
meet	v.遇到，会见，迎接
meeting	n.会议，集会
melancholy	n.adj.忧郁(的)
melody	n.旋律，曲调
melon	n.瓜，甜瓜
melt	v.熔化，融解
member	n.成员，会员
membership	n.会员资格，全体成员
memo	n.备忘录
memoir	n.回忆录
memorial	adj.纪念的，追悼的
memorize	v.记住，记忆
memory	n.记忆(力)，回忆
menace	v.n.威胁，恐吓
mend	v.修理，修补，好转
mental	adj.心理的，精神的
mentality	n.心理，意识
mention	v.n.提及，讲到
menu	n.菜单
merchandise	n.商品，货物
merchant	n.商人  adj.商业的
mercantile	n.商品
merciful	adj.仁慈的，宽大的
mercury	n.水星
mercury	n.汞，水银
mercy	n.宽大，慈悲，怜悯
mere	adj.仅仅的，起码的
merely	adv.仅仅，只
merge	v.合并
merit	n.价值，功绩  v.应得
mermaid	n.美人鱼
merry	adj.欢乐的
mesh	n.网孔，筛眼
mess	n.肮脏，凌乱  v.弄脏
message	n.音讯，消息
messenger	n.通讯员，使者
metal	n.金属
metallic	adj.金属的
metallurgy	n.冶金学
meter	n.量器，仪表
method	n.方法
methodology	n.方法(论)
meticulous	adj.小心翼翼的
meticulously	adv.胆小地
metre	n.米，公尺
metric	adj.公制的，米的
metropolitan	n.大都市
mexican	n.adj.墨西哥人(的)
mexico	n.墨西哥
microeconomics	n.微观经济学
microphone	n.扩音器，话筒
microprocessor	n.微处理机
microscope	n.显微镜
microwave	n.微波
midday	n.正午，晌午
middle	n.当中  adj.中部的
middleman	n.中人，中间人
middling	n.中等的，第二流的
midnight	n.午夜
midst	n.中间，中部
might	v.或许，可以  n.力
mighty	adj.强有力的
migrant	adj.迁移的，候鸟的
migrate	v.迁移(海外)，移栖
migration	n.迁移，移居海外
mild	adj.温和的，味淡的
mile	n.英里
mileage	n.里程
milestone	n.里程碑
military	adj.军事的，好斗的
militia	n.民兵(组织)
milk	n.奶，乳夜  v.挤奶
milkman	n.送奶人
milky	adj.加奶的，乳白色的
mill	n.磨坊，工厂  v.滚乱
miller	n.磨坊主
millimetre	n.毫米
million	n.百万
millionaire	n.百万富翁
mince	v.切碎，绞碎
mincer	n.粉碎机
mind	n.头脑，智力  v.介意
mine	pron.我的  n.矿山
miner	n.矿工
mineral	n.矿物  adj.矿物的
mingle	v.混合，混入
miniature	n.雏形，缩影，袖珍
minicomputer	n.微型计算机
minimize	v.使减到最小
minimum	n.最少量  adj.最小的
minister	n.教士，部长，大臣
ministry	n.(政府)部
minor	adj.较小的，次要的
minority	n.少数，少数民族
mint	n.造币厂，薄荷
minus	prep.减去  adj.减的
minute	n.分钟，片刻
miracle	n.奇迹，令人惊讶的事
miraculous	adj.奇迹(般)的
mirror	n.镜子  v.反映
miscarriage	n.未到目的地
miscarry	v.未运到(目的地)
mischief	n.伤害，恶作剧
miser	n.吝啬鬼，守财奴
miserable	adj.悲惨的，糟糕的
misery	n.痛苦，悲惨，苦难
misfortune	n.不幸
misgiving	n.疑虑，担心
mishandle	v.装卸不慎
mishap	n.事故
misinterpret	v.误解
mislead	v.引入岐途
miss	v.未击中
错过  n.小姐	
missile	n.导弹，发射物
missing	adj.丢失的，缺少的
mission	n.使团，使命，天职
missionary	n.传教士
mist	n.薄雾  v.使迷糊
mistake	n.错误，误解  v.搞错
mistaken	adj.搞错了的，误解的
mister	n.先生(缩写为Mr.)
mistress	n.女主人，情妇
misty	adj.雾蒙蒙的，有雾的
misunderstand	v.误解，误会
misunderstanding	n.误会，曲解
mitten	n.连指手套，露指手套
mix	v.混合，配料，交往
mixer	n.混合器
mixture	n.混合物，混和
moan	v.n.呻吟，悲叹
mob	n.暴民，乌合之众
mobile	adj.机动的，流动的
mobilize	v.动员
mock	v.嘲笑，愚弄
mode	n.方式，方法
model	n.模范，模型，模特儿
moderate	adj.适度的  v.缓和
moderately	adv.适度地，适中地
modern	adj.现代的，时髦的
modernization	n.现代化
modernize	v.使...现代化
modest	adj.谦虚的，质朴的
modesty	n.谦虚
modification	n.修改，缓和
modified	adj.改良的，改进的
modify	v.修改，减轻，修饰
modulate	v.调整，改变
module	n.模量，模件
moist	adj.潮湿的
moisture	n.潮气
molecular	adj.分子的
molecule	n.分子
moment	n.时刻，瞬间
momentary	adj.片刻的，瞬间的
momentous	adj.重要的，重大的
monarch	n.君主，王室
monastery	adj.修道院，寺院
monday	n.星期一
monetary	adj.货币的，金融的
money	n.金钱，货币，财富
monitor	n.班长,监视器  v.监视
monk	n.和尚，修道士
monkey	n.猴子
monopolize	v.垄断，独占
monopoly	n.垄断，独占
monotonous	adj.单调的，枯燥的
monotony	n.单调，枯燥
monster	n.怪兽，怪物，魔鬼
monstrous	adj.可怕的，极恶的
month	n.月份
monthly	adj.每月的  n.月刊
monument	n.纪念章，不朽之物
monumental	adj.纪念碑式的
mood	n.心情，心境，情绪
moon	n.月亮
moonlight	n.月光
moonlighting	n.业余干活
moor	v.系泊，把船栓定
mop	n.拖把，墩布
moral	adj.道德的  n.教训
morale	n.士气，斗志
morality	n.道德品质
more	adj.更多的,更  adv.更
moreover	adv.此外，而且
morning	n.早晨，上午
mortal	adj.致命的
moslem	n.adj.穆斯林
mosque	n.清真寺
mosquito	n.蚊子
moss	n.苔藓，地衣
most	adj.最多的  adv.非常
mostly	adv.主要地，大多
motel	n.汽车旅馆
moth	n.蛾
mother	n.母亲  adj.出生地的
mother-in-law	n.岳母，婆婆
motion	n.运动，议案
motionless	adj.不动的
motivate	v.促进，激发
motivation	n.动机
motive	n.动机
motor	n.发动机
motorcar	n.汽车
motorcycle	n.摩托车
motorist	n.摩托车手
motorway	n.汽车道，高速公路
motto	n.座右铭
mould	n.模子，型，霉菌
mount	n.山，岳  v.登上
mountain	n.山
mountainous	adj.多山的，山一般的
mourn	v.悲悼，哀痛
mournful	adj.悲悼的，哀痛的
mourning	n.哀痛
mouse	n.老鼠
moustache	n.胡子，须
mouth	n.口，嘴巴，河口
mouthful	n.一口，满口
move	v.移动，推动，搬家
movement	n.活动，运动，动作
movie	n.电影(院)
mr.	n.(缩)先生
mrs.	n.(缩)夫人，太太
ms.	n.(缩)女士
much	adj.许多的  n.许多
mud	n.泥浆
muddy	adj.泥泞的
muffle	v.裹住，捂住
muffler	n.围巾，消音器
mug	n.(有柄)大杯
mule	n.骡子
multiple	adj.复合的，多次方的
multiplication	n.乘法，增加
multiply	v.乘，增加，繁殖
multifunction	n.多功能的
multitude	n.大批，大群
municipal	adj.市的，市政的
mumble	v.咕哝，嘟囔
mumps	n.腮腺炎
murder	v.n.谋杀(案)
murderer	n.凶手，杀人犯
murmur	v.低声说
muscle	n.筋，肌肉
muscular	adj.肌肉发达的
muse	v.沉思，默想
museum	n.博物馆，陈列馆
mushroom	n.“蘑菇
music	n.音乐，乐曲
musical	adj.音乐的  n.歌舞片
musician	n.音乐家，作曲家
must	v.必须，准是  n.必须
mustard	n.芥末
mute	adj.缄默的  n.哑巴
mutter	v.咕哝，抱怨
mutton	n.羊肉
mutual	adj.相互的，共同的
my	pron.我的
myriad	n.adj.无数(的)
myself	pron.我自己，我亲自
mysterious	adj.神秘的，玄妙的
mystery	n.神秘，奥妙，秘事
mystic	adj.神秘的
myth	n.神话
mythology	n.神话(学)
nail	n.钉子，指甲  v.钉
naive	adj.天真的
naked	adj.裸体的，赤裸裸的
name	n.姓名，名称  v.命名
nameless	adj.无名的
namely	adv.即，也就是
namesake	n.名义
nap	n.打盹，小睡
napkin	n.餐巾(纸)
narrate	v.叙述
narration	n.叙述
narrator	n.叙述者
narrow	adj.狭窄的，勉强的
nasty	adj.肮脏的，下流的
nation	n.国家，国民，民族
national	adj.民族的，国家的
nationality	n.国籍
native	adj.本国的，出生地的
natural	adj.自然的，通常的
naturally	adv.自然地
nature	n.自然，本性，性质
naughty	adj.淘气的，顽皮的
nausea	v.恶心，讨厌
naval	adj.海军的
navel	n.脐，中心
navigable	adj.可航行的
navigation	n.航行，航海，航空
navy	n.海军
near	adv.近  adj.近的
nearby	adj.adv.附近(的)
nearly	adv.几乎，差不多
neat	adj.整洁的，简洁的
necessarily	adv.必然，当然
necessary	adj.必要的，必然的
necessitate	v.使需要，强迫
necessity	n.必要性，必须品
neck	n.颈，脖子
necklace	n.项链
need	n.需要，贫困  v.需要
needful	adj.必要的
needle	n.针，指针，针叶
needless	adj.不必要的，无用的
needy	adj.贫穷的
negate	v.否定
negation	n.否定
negative	adj.否定的  n.负片
neglect	v.n.疏忽，忽视
negligence	n.疏忽，过失
negligent	adj.粗心大意的
negligible	adj.微不足道的
negotiable	adj.可谈判的
negotiate	v.谈判，交涉
negotiation	n.谈判
negro	n.黑人(贬义)
neighbor	n.邻居，邻国
neighborhood	n.邻里，街坊
neighboring	adj.邻近的，相邻的
nerve	n.神经，胆量
nervous	adj.神经(质)的，
nest	n.巢，窝
nestle	v.安顿，建巢
net	n.网  adj.净的，纯的
network	n.网络，网状组织
neutral	adj.中立的，中和的
neutrality	n.中立
neutron	n.中子
never	adv.从不，永不，未曾
nevertheless	adv.还是，然而
new	adj.新的，重新的
news	n.新闻，消息
newspaper	n.报纸，新闻纸
next	adv.下一次，然后
nice	adj.令人愉快的
nickel	n.镍，镍币
nickname	n.绰号，诨号
niece	n.侄女，外甥女
night	n.夜，黑夜
nightgown	n.睡衣
nightingale	n.夜莺
nightmare	n.恶梦
nine	num.九
nineteen	num.十九
ninety	num.九十
ninth	num.第九，九分之一
nitrogen	n.氮
no	adv.不,毫不  adj.没有
no.	n.(缩)...号，号码
nobility	n.高贵，庄严
noble	adj.高尚的，贵族的
nobody	prep.谁也不
nod	v.n.点头
noise	n.噪音，吵嚷声
noisy	adj.吵闹的
nominal	adj.名义上的，票面的
nominate	v.提名，推荐，任命
nomination	n.提名，任命
none	prep.没人，毫无
nonsense	n.废话，谬论
noon	n.中午，正午
nor	conj.也不，也没
norm	n.标准，规范，定额
normal	adj.正常的，标准的
normalization	n.正常化
normalize	v.使正常，使标准化
normally	adv.正常地，通常
north	n.北，北方  adj.北的
northeast	adj.n.东北(的)
northern	adj.北方的，北部的
northward	adj.adv.向北(的)
northwest	adj.n.西北(的)
nose	n.鼻子
nostril	n.鼻孔
not	adv.不
notable	adj.值得注意的
notably	adj.尤其，值得注意地
note	n.笔记，注释，便条
notebook	n.笔记本
noted	adj.著名的
note-taking	n.笔记，笔录
nothing	n.没有东西  adv.毫不
notice	v.留意  n.注意，通知
noticeable	adj.显而易见的
notification	n.通知(书)，布告
notify	v.通知，通告，报告
notion	n.概念，意见，看法
notorious	adj.臭名昭著的
notwithstanding	prep.conj.尽管
nought	n.零
noun	n.名词
nourish	v.养育，提供养分
nourishment	n.食物，补品
novel	adj.新颖的  n.小说
novelist	n.小说家
novelette	n.中篇小说
novelty	n.新奇，新颖
november	n.十一月
now	adv.n.现在  conj.既然
nowadays	adv.现今，目前
nowhere	adv.哪儿也不
nuclear	adj.核的，原子核的
nucleus	n.(原子)核，核心
nuisance	n.令人讨厌的人或事
null	n.无
nullify	v.使无效，取消
number	n.数字，若干，号码
numerical	adj.数字的
numerous	adj.众多的，大量的
nun	n.修女，尼姑
nurse	n.护士，保姆  v.护理
nursery	n.托儿所，苗圃
nut	n.坚果，螺母
nylon	n.尼龙
oak	n.橡树，栎树
oar	n.橹，桨
oath	n.誓言，誓约
obedience	n.服从，顺从
obedient	adj.服从的，顺从的
obey	v.服从，遵守
object	n.物体，目的  v.反对
objection	n.反对，异议，不愿
objective	n.目标  adj.客观的
obligation	n.义务，责任
oblige	v.责成，使感激
obliterate	adj.删去，抹掉
oblong	adj.椭圆形的
obscure	adj.无名的  v.遮蔽
observance	n.仪式，习惯
observation	n.观察，评述
observe	v.观察，遵守，注视
observer	n.观察员
obstacle	n.障碍(物)
obstinate	adj.固执的，顽强的
obstruction	n.堵塞，妨碍
obtain	v.获得
obtainable	adj.可得到的
obvious	adj.明显的
obviously	adv.明显地，显然
occasion	n.场合，盛事，机会
occasional	adj.偶然的，有时的
occasionally	adv.偶而，有时
occident	n.西方
occidental	adj.西方的，西洋的
occupation	n.职业，占有
occupy	v.占据，占领，担任
occur	v.发生，出现，想到
occurrence	n.发生，出现，事件
ocean	n.海洋，大洋
oceania	n.大洋洲
oceanography	n.海洋学
o'clock	adv.点钟
october	n.十月
odd	adj.古怪的，奇数的
odour	n.气味
of	prep..的(表示领属等)
off	adv....去  prep.离开
off-duty	adj.不当班的
offence	n.过错，冒犯，攻击
offend	v.冒犯，得罪
offensive	adj.冒犯的，攻击的
offer	v.n.提供，报盘
offering	n.报盘，提供的货物
off-grade	adj.等外的，质差的
office	n.办公室，事务所
officer	n.军官，警官，官员
official	n.官员  adj.官方的
offset	v.抵消，弥补
offspring	n.子女，子孙
often	adv.经常，常常
oh	int.哦，嗬
oil	n.油，石油
o.k.	adj.n.(缩)对，行
old	adj.老的，...岁的
olive	n.橄榄(树)
omen	n.前兆
ominous	adj.不祥的
omission	n.省略
omit	v.省略，遗漏
on	prep.在...上，关于
once	adv.一度，一次
one	num.n.一，一个
oneself	pron.自己，自身
onion	n.洋葱
only	adj.唯一的  adv.仅仅
onset	n.攻击，着手
onto	prep.到...上
onward	adv.adj.向前(的)
opal	n.蛋白石
opaque	adj.不透明的
open	adj.开的  v.打开
opener	n.开罐器，起子
opening	n.开始，通路，孔
opera	n.歌剧
operate	v.运转，操作，开刀
operation	n.操作，生效，手术
operational	adj.业务上的，操作的
operative	adj.有效的
operator	n.操作人员，接线员
opinion	n.意见，评论，看法
opium	n.鸦片
opponent	n.对手，敌手
opportune	adj.及时的，凑巧的
opportunity	n.机会，机遇，时机
oppose	v.反对，反抗
opposite	adj.对立的，对面的
opposition	n.敌对，反抗
oppress	v.压抑，压迫，压制
oppression	n.压迫
optical	adj.视觉的，光学的
optimal	adj.最佳的
optimism	n.乐观(主义)
optimistic	adj.乐观(主义)的
optimize	v.最佳化
optimum	n.最佳条件
option	n.选择，可选择的东西
optional	adj.可任选的，随意的
or	conj.或者，即，否则
oral	adj.口头的，口的
orange	n.柑桔，橙色
orbit	n.轨道
orchard	n.果园
orchestra	n.管弦乐队，交响乐
order	n.命令，订货，次序
orderly	adj.整齐的  n.勤务员
ordinarily	adv.通常
ordinary	adj.普通的，一般的
ore	n.矿石，矿物
organ	n.器官，风琴
organic	adj.器官的，有机的
organism	n.有机体
organization	n.组织，团体
organizational	adj.组织的
organize	v.组织，筹备，编排
orient	n.东方  v.定方针
oriental	adj.n.东方的(人)
orientation	n.定向，倾向性
origin	n.起源，产地
original	adj.原始的  n.原物
originality	n.独创性
originally	adv.原来，当初
originate	v.起源，首创
ornament	n.装饰(品)
ornamental	adj.装饰的
orphan	n.孤儿
oscillation	n.摆动，振动
other	adj.其他的，别的
otherwise	adv.另外的  conj.否则
ought	v.应该，大概
ounce	n.盎司
our	pron.我们的
ourselves	pron.我们自己
out	adv.出外，向外，完
outbreak	n.爆发，发作
outcome	n.结果
outdoor	adj.野外的，露天的
outdoors	adv.在外的，在野外的
outer	adj.外部的，外面的
outermost	adj.最外的
outland	n.偏僻地区
outlandish	adj.外国的
outlaw	n.逃犯，歹徒
outlay	n.费用，支出
outlet	n.出口，销路
outline	n.轮廓，略图，大纲
outlook	n.看法，景色，展望
output	n.出产，产量
outrage	n.暴行
outrageous	adj.残暴的
outright	adj.公然地，直率地
outset	n.开头，起初
outside	n.外部  adv.在外面
outsider	n.局外人
outskirts	n.郊区
outstanding	adj.杰出的，未付款的
outturn	n.卸货情况
outward	adj.adv.向外(的)
oval	adj.椭圆(形)的
oven	n.烤炉，锅灶
over	prep.在...上方，越过
overall	adj.总的，全面的
overcast	adj.多云的
overcharge	v.n.多收(的)钱
overcoat	n.外套，大衣
overcome	v.征服，克服，压倒
overestimate	v.估计过高
overextend	v.使..承担过多的义务
overflow	v.泛滥，溢出，满怀
overhead	adv.adj.头上(的)
overhear	v.偶然听到，偷听
overjoy	n.使大喜
overlap	v.重叠
overlapping	adj.相互重叠的
overload	v.n.超载
overlook	v.视察，俯瞰，宽容
overnight	adv.adj.终夜(的)
overpayment	n.多付的款项
overseas	adv.adj.海外(的)
oversight	n.监视，疏忽
overtake	v.赶上，压倒
overthrow	v.推翻，颠覆
overtime	n.超时，加班
overwhelm	v.压倒，淹没
overwhelming	adj.压倒的
owe	v.欠，归功于
owing	adj.该付的
owl	n.猫头鹰
own	adj.自己的  v.拥有
owner	n.物主，所有人
ownership	n.所有权，所有制
ox	n.公牛
oxide	n.氧化物
oxygen	n.氧，氧化
oyster	n.牡蛎，蚝
pace	n.步，速度，步调
pacific	n.太平洋
pack	v.包装，挤满  n.背包
package	n.包裹  v.打包
packaging	n.包装
packet	n.一盒，小件包裹
packing	n.装箱，收拾行李
pad	n.垫，便笺本
page	n.(书)页
pail	n.提桶
pain	n.疼痛，悲痛  v.作痛
painful	adj.痛苦的
paint	n.涂料，油漆  v.刷漆
painter	n.画家，油漆匠
painting	n.画，绘画(艺术)
pair	n.对，双，夫妇
palace	n.宫殿
pale	adj.苍白的，淡的
palm	n.手掌，掌心，棕榈树
pamphlet	n.小册子
pan	n.平底锅
panda	n.熊猫
pane	n.窗(门)玻璃
panel	n.镶板，仪表盘，小组
panic	n.v.恐慌，惊慌
panorama	n.全景
panoramic	adj.全景的
pant	n.v.喘气
panther	n.豹，美洲豹
pantry	n.配膳室，食品室
pants	n.长裤，衬裤
paper	n.纸，报纸，文件
papercut	n.剪纸，刻纸
papercutting	n.剪纸艺术
papers	n.文件，证书
par	n.(跟)原价相等
parachute	n.降落伞
parade	n.v.游行
paradise	n.天堂，天国
paragraph	n.段落，节
parallel	adj.平行的，类似的
paralyse	v.使麻痹，惊呆
parameter	n.参数，参量
parasite	n.寄生虫，寄生物
parcel	n.包裹，邮包
pardon	n.v.原谅，赦免
parent	n.父或母亲，母体
paris	n.巴黎
parish	n.教区
park	n.公园  v.停放车辆
parking	n.停放车辆
parliament	n.议会，国会
parlimental	adj.国会的，议会的
parlor	n.客厅
parrot	n.鹦鹉
part	n.部分，零件，角色
partial	adj.局部的，偏颇的
partially	adv.局部地，部分地
participant	n.参加者，参与者
participate	v.参与，分享
participation	n.参加，参与
particle	n.颗粒，微粒，虚词
particular	adj.特殊的  n.项目
particularly	adv.特别地
partition	v.n.划分，隔开
partly	adv.部分地
partner	n.伙伴，合伙人，搭档
partnership	n.伙伴关系，合伙
part-time	adj.计时(干活)的
party	n.聚会，政党，一方
pass	v.经过，传给  n.关口
passable	adj.过得去的
passage	n.一段，通过，通道
passenger	n.旅客，乘客
passion	n.激情，热衷
passionate	adj.多情的，热烈的
passive	adj.被动的，消极的
passport	n.护照
past	adj.过去的  n.过去
past-due	adj.过期的
paste	n.浆糊，糊状物
pastime	n.消谴，娱乐
pasture	n.牧场
pat	n.v.轻拍，抚摸
patch	n.补丁，眼罩
patent	n.专利权，专利证
path	n.小径，路线
pathetic	adj.凄婉动人的
patience	n.耐心，忍耐力
patient	adj.耐心的  n.病人
patriot	n.爱国者
patriotic	adj.爱国的
patriotism	n.爱国主义
patrol	v.巡逻  n.巡逻队
patron	n.赞助人，保护人
patronage	n.保护人身分
pattern	n.模式，式样，图案
pause	v.n.暂停，中止
pave	v.铺路，为..铺平道路
pavement	n.人行道
paw	n.脚瓜
pawn	v.产卵
pay	v.支付  n.工资
payable	adj.支付给...的
payment	n.支付，付款
pea	n.豌豆
peace	n.和平，平静，和约
peaceful	adj.和平的，平静的
peach	n.桃子
peacock	n.孔雀
peak	n.顶点，巅，山峰
peanut	n.花生
pear	n.梨
pearl	n.珍珠
peasant	n.农民
peasantry	n.农民(总称)
pebble	n.鹅卵石
peck	v.啄
peculiar	adj.古怪的，独特的
peculiarity	n.特性，怪癖
pedal	n.踏板  v.骑车
pedestrian	n.行人
pedlar	n.小贩
peel	n.果皮  v.削、剥皮
peep	v.偷看，窥视
peer	n.同行  v.盯，凝视
peg	n.桩  v.(汇率)钉住
pen	n.钢笔，栏，圈
penalty	n.刑罚，处罚，罚款
pencil	n.铅笔
pending	adj.未决的，紧迫的
penetrate	v.贯穿，穿透，弥漫
penetration	n.贯穿，洞察力
penicillin	n.青霉素，盘尼西林
peninsular	n.半岛
penny	n.便士
pension	n.养老金，年金
people	n.人们，人民，人员
pepper	n.胡椒
per	prep.每，由，按照
perceive	v.知觉，觉察，领悟
percent	n.每百，百分之
percentage	n.百分率
perception	n.感觉，理解力
perch	v.栖息
perfect	adj.完美的，完备的
perfection	n.完成，完善
perfectly	adv.完全地，完美地
perform	v.执行，表演
performance	n.执行，演出
performer	n.执行者，表演者
perfume	n.香味，香水
perhaps	adv.也许，多半
peril	n.危难，巨大危险
perimeter	n.周长
period	n.时期，句号
periodic	adj.周期的，定时的
periodical	n.期刊
peripheral	adj.边缘的，周边的
perish	v.死亡，枯萎
permanence	n.永久，持久
permanent	n.永久性的，持久的
permanently	adv.永久地
permission	n.允许，许可
permissive	adj.允许的，许可的
permit	v.允许  n.许可证
perpendicular	adj.垂直的
perpetual	adj.永久的，永恒的
perplex	v.迷惑，难住
persecute	v.迫害
persecution	n.迫害
persevere	v.坚持
perseverance	n.坚持
persist	v.坚持，固执，持续
persistence	n.坚持，持续
person	n.人，人称，身体
personal	adj.私人的，个人的
personality	n.人格，个性，人物
personally	adv.亲自，就个人而言
personnel	n.全体人员，人事部门
